request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This keeps at least EUR 6585.46 available."
request_179,6325093.98,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 15 July 2025, then pay IDR 41648000 in full. This keeps at least IDR 47755893.99 available."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This keeps at least INR 47825.31 available.
request_181,413.94,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5059.20 request. Although USD 413.94 is safe today, no eligible option completes it by 7 April 2024 while protecting the USD 2000 minimum."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This keeps at least ZAR 41103.99 available.
request_183,23594681.8,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This keeps at least IDR 17546449.31 available."
request_184,12246.31,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251900 request. Although INR 12246.31 is safe today, no eligible option completes it by 30 July 2024 while protecting the INR 110800 minimum."
request_185,313.18,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 1257.30 in full. This keeps at least EUR 1301.65 available."
request_186,3897.27,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26554 request. Although ZAR 3897.27 is safe today, no eligible option completes it by 15 March 2026 while protecting the ZAR 22000 minimum."
request_187,27482.29,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 187500 in full. This keeps at least INR 155782.29 available."
request_188,81.54,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2464 request. Although EUR 81.54 is safe today, no eligible option completes it by 4 March 2025 while protecting the EUR 900 minimum."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This keeps at least EUR 475.22 available.
request_190,467.79,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2557.50 in full. This keeps at least EUR 1786.61 available."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This keeps at least EUR 604.70 available.
request_192,81.6,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2046 request. Although USD 81.60 is safe today, no eligible option completes it by 11 May 2026 while protecting the USD 1000 minimum."
request_193,31.66,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This keeps at least EUR 1031.66 available."
request_194,34598.86,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Wait until 23 October 2025, then pay INR 132800 in full. This keeps at least INR 148198.87 available."
request_195,1004.42,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This keeps at least EUR 1077 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This keeps at least EUR 609.40 available.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17658853.33, starting 19 November 2025. This keeps at least IDR 29239073.55 available."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This keeps at least INR 151862.31 available.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This keeps at least IDR 36018193.58 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This keeps at least IDR 24245037.45 available.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This keeps at least IDR 19387958.03 available.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This keeps at least INR 165021.98 available.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This keeps at least EUR 3163.10 available."
request_204,573.96,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 588.74 in full. This keeps at least EUR 1412.93 available."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This keeps at least IDR 16146838.99 available.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This keeps at least EUR 2658.80 available."
request_207,4699.14,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 15 July 2026, then pay ZAR 11830 in full. This keeps at least ZAR 16087.81 available."
request_208,3100009.7,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 15 June 2024, then pay IDR 4413000 in full. This keeps at least IDR 12488514.78 available."
request_209,1233.51,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56914 request. Although ZAR 1233.51 is safe today, no eligible option completes it by 25 November 2025 while protecting the ZAR 18400 minimum."
request_210,623.65,affordable_with_plan,partial_payment,2026-04-06:623.65|2026-04-15:736.37,2026-04-15,none,Pay USD 623.65 today and the remaining USD 736.37 on 15 April 2026. This keeps at least USD 2000 available.
request_211,284.86,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1788.60 in full. This keeps at least EUR 1784.87 available."
request_212,3919532.59,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71934000 request. Although IDR 3919532.59 is safe today, no eligible option completes it by 28 February 2025 while protecting the IDR 29579800 minimum."
request_213,3269.25,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,,stop:event_19549|reduce_to:event_19550:34.80,"Use 3 installments of USD 1165.63, starting 21 January 2026. This keeps at least USD 2188.29 available."
request_214,43789.59,affordable_with_plan,partial_payment,2024-12-04:43789.59|2024-12-15:25960.41,2024-12-15,none,Pay INR 43789.59 today and the remaining INR 25960.41 on 15 December 2024. This keeps at least INR 174900 available.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This keeps at least ZAR 17258.65 available."
request_216,487.13,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Wait until 15 September 2026, then pay USD 3332.40 in full. This keeps at least USD 2287.14 available."
request_217,19459.09,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,stop:event_19978,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This keeps at least ZAR 26977.36 available."
request_218,24463546.45,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This keeps at least IDR 37744853.13 available."
request_219,650.51,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This keeps at least EUR 1170.50 available."
request_220,60.13,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3118.50 request. Although EUR 60.13 is safe today, no eligible option completes it by 3 July 2024 while protecting the EUR 1100 minimum."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This keeps at least INR 102867.60 available.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This keeps at least ZAR 63912.54 available.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This keeps at least EUR 929.64 available.
request_224,9829015.04,affordable_with_plan,partial_payment,2025-02-04:9829015.04|2025-02-15:497984.96,2025-02-15,none,Pay IDR 9829015.04 today and the remaining IDR 497984.96 on 15 February 2025. This keeps at least IDR 22187600.01 available.
request_225,10558693.95,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This keeps at least IDR 21811444.78 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This keeps at least INR 247124.65 available.
request_227,4810.11,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259700 request. Although INR 4810.11 is safe today, no eligible option completes it by 20 June 2025 while protecting the INR 62900 minimum."
request_228,1175630.37,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63327000 request. Although IDR 1175630.37 is safe today, no eligible option completes it by 30 April 2026 while protecting the IDR 26191200 minimum."
request_229,487.05,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This keeps at least EUR 1303.71 available."
request_230,0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 October 2025. No eligible option keeps the EUR 2000 minimum protected.
request_231,31012.91,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. This keeps at least ZAR 25318.41 available."
request_232,536.27,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1970.10 request. Although EUR 536.27 is safe today, no eligible option completes it by 15 August 2024 while protecting the EUR 2400 minimum."
request_233,4272574.77,affordable_with_plan,partial_payment,2025-11-07:4272574.77|2025-11-15:1968425.23,2025-11-15,none,Pay IDR 4272574.77 today and the remaining IDR 1968425.23 on 15 November 2025. This keeps at least IDR 10365700 available.
request_234,184.57,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 15 September 2026, then pay EUR 1213.30 in full. This keeps at least EUR 884.57 available."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This keeps at least USD 855.98 available.
request_236,5047504.71,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52383000 request. Although IDR 5047504.71 is safe today, no eligible option completes it by 23 February 2025 while protecting the IDR 16768600 minimum."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This keeps at least IDR 26354212.14 available.
request_238,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 February 2025. No eligible option keeps the USD 700 minimum protected.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This keeps at least USD 660.16 available.
request_240,14154.57,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101200 request. Although INR 14154.57 is safe today, no eligible option completes it by 20 March 2026 while protecting the INR 52800 minimum."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This keeps at least IDR 20143158.86 available."
request_242,28.3,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1966.80 request. Although EUR 28.30 is safe today, no eligible option completes it by 25 August 2025 while protecting the EUR 600 minimum."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This keeps at least ZAR 22431.88 available.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This keeps at least ZAR 57124.07 available.
request_245,23397.24,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Wait until 15 January 2026, then pay INR 128500 in full. This keeps at least INR 106507.03 available."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This keeps at least ZAR 41986.23 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. This keeps at least EUR 1368.07 available.
request_248,371.08,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1965.60 request. Although USD 371.08 is safe today, no eligible option completes it by 28 April 2025 while protecting the USD 1300 minimum."
request_249,159.68,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Wait until 15 March 2026, then pay USD 643.20 in full. This keeps at least USD 759.68 available."
request_250,12380.18,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124278 request. Although ZAR 12380.18 is safe today, no eligible option completes it by 18 January 2025 while protecting the ZAR 35300 minimum."
request_251,356.39,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1513.60 request. Although EUR 356.39 is safe today, no eligible option completes it by 6 June 2025 while protecting the EUR 1300 minimum."
request_252,4636397.44,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Wait until 15 August 2026, then pay IDR 28082000 in full. This keeps at least IDR 15186044.17 available."
request_253,1367.61,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This keeps at least EUR 2397.62 available."
request_254,554.9,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Wait until 15 October 2025, then pay USD 3535.20 in full. This keeps at least USD 3054.91 available."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This keeps at least IDR 9970187.58 available.
request_256,152069.96,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816, starting 10 June 2024. This keeps at least INR 182025.58 available."
request_257,343.74,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Wait until 15 January 2026, then pay USD 1352.40 in full. This keeps at least USD 1834.75 available."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. This keeps at least USD 1042.26 available.
request_259,148.12,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 935 in full. This keeps at least EUR 748.13 available."
request_260,6326302.08,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52079000 request. Although IDR 6326302.08 is safe today, no eligible option completes it by 18 April 2025 while protecting the IDR 20727700 minimum."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This keeps at least EUR 1786.48 available.
request_262,0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 January 2025. No eligible option keeps the IDR 31018500 minimum protected.
request_263,6797.58,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51546 request. Although ZAR 6797.58 is safe today, no eligible option completes it by 15 June 2025 while protecting the ZAR 24100 minimum."
request_264,21000.32,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 15 June 2026, then pay INR 111300 in full. This keeps at least INR 80500.33 available."
request_265,33433.23,affordable_with_plan,full_payment,2024-03-06:45970,,stop:event_24383|stop:event_24384,"Stop event_24383, then stop event_24384, then pay INR 45970 today. This keeps at least INR 192538.23 available."
request_266,766.29,not_affordable,not_recommended,none,2025-09-15,none,"Do not proceed with the EUR 935 request. Although EUR 766.29 is safe today, no eligible option completes it by 3 October 2025 while protecting the EUR 900 minimum."
request_267,1675.14,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This keeps at least EUR 1862.87 available."
request_268,907.34,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This keeps at least EUR 1466.12 available."
request_269,9750.18,affordable_later,wait,2025-12-15:15490,2025-12-15,none,"Wait until 15 December 2025, then pay ZAR 15490 in full. This keeps at least ZAR 26210.12 available."
request_270,95.75,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3028.80 request. Although USD 95.75 is safe today, no eligible option completes it by 30 August 2026 while protecting the USD 1400 minimum."
request_271,13683.16,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 15 November 2024, then pay INR 91300 in full. This keeps at least INR 71883.16 available."
request_272,5411690.68,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This keeps at least IDR 8210824.01 available."
request_273,7685199.95,affordable_with_plan,partial_payment,2026-04-07:7685199.95|2026-04-15:8175800.05,2026-04-15,none,Pay IDR 7685199.95 today and the remaining IDR 8175800.05 on 15 April 2026. This keeps at least IDR 18774600.01 available.
request_274,2283.02,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This keeps at least EUR 2522.95 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This keeps at least IDR 14339033.94 available.
